ensembl_gene_id	ensembl_transcript_id	chromosome_name	mgi_symbol	description
ENSMUSG00000103845	ENSMUST00000194240	1	Gm19026	predicted gene, 19026 [Source:MGI Symbol;Acc:MGI:5011211]
ENSMUSG00000033740	ENSMUST00000140079	1	St18	suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700]
ENSMUSG00000102135	ENSMUST00000194605	1	Gm37108	predicted gene, 37108 [Source:MGI Symbol;Acc:MGI:5610336]
ENSMUSG00000051285	ENSMUST00000061280	1	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]
ENSMUSG00000098201	ENSMUST00000182051	1	Gm26983	predicted gene, 26983 [Source:MGI Symbol;Acc:MGI:5504098]
ENSMUSG00000048538	ENSMUST00000029124	1	Gm9826	predicted gene 9826 [Source:MGI Symbol;Acc:MGI:3642725]
ENSMUSG00000097797	ENSMUST00000181554	1	Gm26901	predicted gene, 26901 [Source:MGI Symbol;Acc:MGI:5477395]
ENSMUSG00000103067	ENSMUST00000194886	1	Gm30414	predicted gene, 30414 [Source:MGI Symbol;Acc:MGI:5589573]
ENSMUSG00000025909	ENSMUST00000132064	1	Sntg1	syntrophin, gamma 1 [Source:MGI Symbol;Acc:MGI:1918346]
ENSMUSG00000103933	ENSMUST00000191876	1	Gm36964	predicted gene, 36964 [Source:MGI Symbol;Acc:MGI:5610192]
ENSMUSG00000076135	ENSMUST00000102181	1	Gm24276	predicted gene, 24276 [Source:MGI Symbol;Acc:MGI:5454053]
ENSMUSG00000101571	ENSMUST00000040649	1	Gm6187	predicted gene 6187 [Source:MGI Symbol;Acc:MGI:3648954]
ENSMUSG00000103411	ENSMUST00000192792	1	Gm18300	predicted gene, 18300 [Source:MGI Symbol;Acc:MGI:5010485]
ENSMUSG00000061024	ENSMUST00000072079	1	Rrs1	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1929721]
ENSMUSG00000025911	ENSMUST00000144177	1	Adhfe1	alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]
ENSMUSG00000079671	ENSMUST00000115480	1	2610203C22Rik	RIKEN cDNA 2610203C22 gene [Source:MGI Symbol;Acc:MGI:1919731]
ENSMUSG00000067879	ENSMUST00000088666	1	3110035E14Rik	RIKEN cDNA 3110035E14 gene [Source:MGI Symbol;Acc:MGI:1924232]
ENSMUSG00000025912	ENSMUST00000088658	1	Mybl1	myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]
ENSMUSG00000045210	ENSMUST00000057438	1	Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917925]
ENSMUSG00000097893	ENSMUST00000181821	1	1700034P13Rik	RIKEN cDNA 1700034P13 gene [Source:MGI Symbol;Acc:MGI:1920581]
ENSMUSG00000025915	ENSMUST00000166384	1	Sgk3	serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]
ENSMUSG00000046334	ENSMUST00000063059	1	Gm6195	predicted pseudogene 6195 [Source:MGI Symbol;Acc:MGI:3647661]
ENSMUSG00000046101	ENSMUST00000052843	1	Mcmdc2	minichromosome maintenance domain containing 2 [Source:MGI Symbol;Acc:MGI:3045334]
ENSMUSG00000098234	ENSMUST00000182580	1	Snhg6	small nucleolar RNA host gene 6 [Source:MGI Symbol;Acc:MGI:1921074]
ENSMUSG00000099032	ENSMUST00000185184	1	Tcf24	transcription factor 24 [Source:MGI Symbol;Acc:MGI:3780500]
ENSMUSG00000025916	ENSMUST00000147000	1	Ppp1r42	protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]
ENSMUSG00000095780	ENSMUST00000179194	1	Gm24674	predicted gene, 24674 [Source:MGI Symbol;Acc:MGI:5454451]
ENSMUSG00000025917	ENSMUST00000027050	1	Cops5	COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana) [Source:MGI Symbol;Acc:MGI:1349415]
ENSMUSG00000056763	ENSMUST00000190610	1	Cspp1	centrosome and spindle pole associated protein 1 [Source:MGI Symbol;Acc:MGI:2681832]
ENSMUSG00000067851	ENSMUST00000088615	1	Arfgef1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) [Source:MGI Symbol;Acc:MGI:2442988]
ENSMUSG00000042501	ENSMUST00000153695	1	Cpa6	carboxypeptidase A6 [Source:MGI Symbol;Acc:MGI:3045348]
ENSMUSG00000100648	ENSMUST00000188013	1	Gm28659	predicted gene 28659 [Source:MGI Symbol;Acc:MGI:5579365]
ENSMUSG00000048960	ENSMUST00000027056	1	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]
ENSMUSG00000057715	ENSMUST00000048613	1	A830018L16Rik	RIKEN cDNA A830018L16 gene [Source:MGI Symbol;Acc:MGI:2444149]
ENSMUSG00000101610	ENSMUST00000187748	1	Gm7560	predicted gene 7560 [Source:MGI Symbol;Acc:MGI:3648484]
ENSMUSG00000097628	ENSMUST00000181461	1	Gm2383	predicted gene 2383 [Source:MGI Symbol;Acc:MGI:3780551]
ENSMUSG00000016918	ENSMUST00000177608	1	Sulf1	sulfatase 1 [Source:MGI Symbol;Acc:MGI:2138563]
ENSMUSG00000025938	ENSMUST00000188454	1	Slco5a1	solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]
ENSMUSG00000042414	ENSMUST00000047577	1	Prdm14	PR domain containing 14 [Source:MGI Symbol;Acc:MGI:3588194]
ENSMUSG00000005886	ENSMUST00000081713	1	Ncoa2	nuclear receptor coactivator 2 [Source:MGI Symbol;Acc:MGI:1276533]
ENSMUSG00000101476	ENSMUST00000185813	1	Gm29570	predicted gene 29570 [Source:MGI Symbol;Acc:MGI:5580276]
ENSMUSG00000101171	ENSMUST00000187246	1	Gm7593	predicted gene 7593 [Source:MGI Symbol;Acc:MGI:3647262]
ENSMUSG00000025935	ENSMUST00000027068	1	Tram1	translocating chain-associating membrane protein 1 [Source:MGI Symbol;Acc:MGI:1919515]
ENSMUSG00000025937	ENSMUST00000027071	1	Lactb2	lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]
ENSMUSG00000097711	ENSMUST00000180415	1	Gm5523	predicted pseudogene 5523 [Source:MGI Symbol;Acc:MGI:3649089]
ENSMUSG00000025932	ENSMUST00000168081	1	Eya1	eyes absent 1 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:109344]
ENSMUSG00000054493	ENSMUST00000187401	1	Gm9947	predicted gene 9947 [Source:MGI Symbol;Acc:MGI:3642739]
ENSMUSG00000025930	ENSMUST00000027062	1	Msc	musculin [Source:MGI Symbol;Acc:MGI:1333884]
ENSMUSG00000103492	ENSMUST00000194866	1	Gm37412	predicted gene, 37412 [Source:MGI Symbol;Acc:MGI:5610640]
ENSMUSG00000081201	ENSMUST00000121569	1	Smt3h2-ps4	SMT3 suppressor of mif two 3 homolog 2, pseudogene 4 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2149598]
ENSMUSG00000082193	ENSMUST00000121367	1	Rpl5-ps1	ribosomal protein L5, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3647110]
ENSMUSG00000073737	ENSMUST00000086739	1	Gm10566	predicted gene 10566 [Source:MGI Symbol;Acc:MGI:3642220]
ENSMUSG00000092083	ENSMUST00000175681	1	Kcnb2	potassium voltage gated channel, Shab-related subfamily, member 2 [Source:MGI Symbol;Acc:MGI:99632]
ENSMUSG00000025925	ENSMUST00000188371	1	Terf1	telomeric repeat binding factor 1 [Source:MGI Symbol;Acc:MGI:109634]
ENSMUSG00000104379	ENSMUST00000194867	1	Gm37509	predicted gene, 37509 [Source:MGI Symbol;Acc:MGI:5610737]
ENSMUSG00000032719	ENSMUST00000040695	1	Sbspon	somatomedin B and thrombospondin, type 1 domain containing [Source:MGI Symbol;Acc:MGI:2684952]
ENSMUSG00000067795	ENSMUST00000115367	1	4930444P10Rik	RIKEN cDNA 4930444P10 gene [Source:MGI Symbol;Acc:MGI:1923049]
ENSMUSG00000043716	ENSMUST00000140597	1	Rpl7	ribosomal protein L7 [Source:MGI Symbol;Acc:MGI:98073]
ENSMUSG00000025921	ENSMUST00000027053	1	Rdh10	retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238]
ENSMUSG00000104165	ENSMUST00000192560	1	Gm38249	predicted gene, 38249 [Source:MGI Symbol;Acc:MGI:5611477]
ENSMUSG00000025920	ENSMUST00000162627	1	Stau2	staufen (RNA binding protein) homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1352508]
ENSMUSG00000025939	ENSMUST00000182554	1	Ube2w	ubiquitin-conjugating enzyme E2W (putative) [Source:MGI Symbol;Acc:MGI:1914049]
ENSMUSG00000102457	ENSMUST00000195710	1	Gm38342	predicted gene, 38342 [Source:MGI Symbol;Acc:MGI:5611570]
ENSMUSG00000079658	ENSMUST00000188641	1	Tceb1	transcription elongation factor B (SIII), polypeptide 1 [Source:MGI Symbol;Acc:MGI:1915173]
ENSMUSG00000100959	ENSMUST00000186738	1	Gm7654	predicted gene 7654 [Source:MGI Symbol;Acc:MGI:3648037]
ENSMUSG00000025940	ENSMUST00000177501	1	Tmem70	transmembrane protein 70 [Source:MGI Symbol;Acc:MGI:1915068]
ENSMUSG00000025779	ENSMUST00000191260	1	Ly96	lymphocyte antigen 96 [Source:MGI Symbol;Acc:MGI:1341909]
ENSMUSG00000091020	ENSMUST00000071842	1	Gm5828	predicted gene 5828 [Source:MGI Symbol;Acc:MGI:3644176]
ENSMUSG00000101640	ENSMUST00000186604	1	Gm28376	predicted gene 28376 [Source:MGI Symbol;Acc:MGI:5579082]
ENSMUSG00000042686	ENSMUST00000186024	1	Jph1	junctophilin 1 [Source:MGI Symbol;Acc:MGI:1891495]
ENSMUSG00000025777	ENSMUST00000026879	1	Gdap1	ganglioside-induced differentiation-associated-protein 1 [Source:MGI Symbol;Acc:MGI:1338002]
ENSMUSG00000101589	ENSMUST00000186192	1	Rbm6-ps1	RNA binding motif protein 6, pseudogene 1 [Source:MGI Symbol;Acc:MGI:1889580]
ENSMUSG00000067780	ENSMUST00000088476	1	Pi15	peptidase inhibitor 15 [Source:MGI Symbol;Acc:MGI:1934659]
ENSMUSG00000100053	ENSMUST00000186267	1	Gm28154	predicted gene 28154 [Source:MGI Symbol;Acc:MGI:5578860]
ENSMUSG00000085125	ENSMUST00000155588	1	Gm16070	predicted gene 16070 [Source:MGI Symbol;Acc:MGI:3801761]
ENSMUSG00000025776	ENSMUST00000159958	1	Crispld1	cysteine-rich secretory protein LCCL domain containing 1 [Source:MGI Symbol;Acc:MGI:1934666]
ENSMUSG00000099895	ENSMUST00000189853	1	Gm28153	predicted gene 28153 [Source:MGI Symbol;Acc:MGI:5578859]
ENSMUSG00000100554	ENSMUST00000190885	1	Gm7690	predicted gene 7690 [Source:MGI Symbol;Acc:MGI:3648169]
ENSMUSG00000099591	ENSMUST00000185706	1	Gm17969	predicted gene, 17969 [Source:MGI Symbol;Acc:MGI:5010154]
ENSMUSG00000100720	ENSMUST00000162030	1	Gm10075	predicted gene 10075 [Source:MGI Symbol;Acc:MGI:3710521]
ENSMUSG00000025927	ENSMUST00000027059	1	Tfap2b	transcription factor AP-2 beta [Source:MGI Symbol;Acc:MGI:104672]
ENSMUSG00000100204	ENSMUST00000188428	1	Gm4849	predicted gene 4849 [Source:MGI Symbol;Acc:MGI:3645366]
ENSMUSG00000043760	ENSMUST00000088448	1	Pkhd1	polycystic kidney and hepatic disease 1 [Source:MGI Symbol;Acc:MGI:2155808]
ENSMUSG00000099906	ENSMUST00000185494	1	Gm28653	predicted gene 28653 [Source:MGI Symbol;Acc:MGI:5579359]
ENSMUSG00000025929	ENSMUST00000027061	1	Il17a	interleukin 17A [Source:MGI Symbol;Acc:MGI:107364]
ENSMUSG00000041872	ENSMUST00000039046	1	Il17f	interleukin 17F [Source:MGI Symbol;Acc:MGI:2676631]
ENSMUSG00000041859	ENSMUST00000053266	1	Mcm3	minichromosome maintenance deficient 3 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:101845]
ENSMUSG00000097934	ENSMUST00000181654	1	6720483E21Rik	RIKEN cDNA 6720483E21 gene [Source:MGI Symbol;Acc:MGI:1924991]
ENSMUSG00000025931	ENSMUST00000189400	1	Paqr8	progestin and adipoQ receptor family member VIII [Source:MGI Symbol;Acc:MGI:1921479]
ENSMUSG00000041809	ENSMUST00000160782	1	Efhc1	EF-hand domain (C-terminal) containing 1 [Source:MGI Symbol;Acc:MGI:1919127]
ENSMUSG00000041779	ENSMUST00000037998	1	Tram2	translocating chain-associating membrane protein 2 [Source:MGI Symbol;Acc:MGI:1924817]
ENSMUSG00000099971	ENSMUST00000186612	1	Gm28287	predicted gene 28287 [Source:MGI Symbol;Acc:MGI:5578993]
ENSMUSG00000100819	ENSMUST00000189119	1	Gm2693	predicted gene 2693 [Source:MGI Symbol;Acc:MGI:3780862]
ENSMUSG00000025933	ENSMUST00000027065	1	Tmem14a	transmembrane protein 14A [Source:MGI Symbol;Acc:MGI:1922962]
ENSMUSG00000025934	ENSMUST00000027067	1	Gsta3	glutathione S-transferase, alpha 3 [Source:MGI Symbol;Acc:MGI:95856]
ENSMUSG00000099343	ENSMUST00000185842	1	Gm28836	predicted gene 28836 [Source:MGI Symbol;Acc:MGI:5579542]
ENSMUSG00000096375	ENSMUST00000178379	1	Gm7094	predicted pseudogene 7094 [Source:MGI Symbol;Acc:MGI:3648114]
ENSMUSG00000028033	ENSMUST00000029667	1	Kcnq5	potassium voltage-gated channel, subfamily Q, member 5 [Source:MGI Symbol;Acc:MGI:1924937]
ENSMUSG00000041670	ENSMUST00000185942	1	Rims1	regulating synaptic membrane exocytosis 1 [Source:MGI Symbol;Acc:MGI:2152971]
ENSMUSG00000101227	ENSMUST00000191045	1	Gm29506	predicted gene 29506 [Source:MGI Symbol;Acc:MGI:5580212]
ENSMUSG00000097970	ENSMUST00000182303	1	Gm27028	predicted gene, 27028 [Source:MGI Symbol;Acc:MGI:5504143]
ENSMUSG00000100775	ENSMUST00000190910	1	Gm29107	predicted gene 29107 [Source:MGI Symbol;Acc:MGI:5579813]
ENSMUSG00000026158	ENSMUST00000027343	1	Ogfrl1	opioid growth factor receptor-like 1 [Source:MGI Symbol;Acc:MGI:1917405]
ENSMUSG00000026156	ENSMUST00000144602	1	B3gat2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) [Source:MGI Symbol;Acc:MGI:2389490]
ENSMUSG00000026155	ENSMUST00000149737	1	Smap1	small ArfGAP 1 [Source:MGI Symbol;Acc:MGI:2138261]
ENSMUSG00000026154	ENSMUST00000027338	1	Sdhaf4	succinate dehydrogenase complex assembly factor 4 [Source:MGI Symbol;Acc:MGI:1915252]
ENSMUSG00000026153	ENSMUST00000187619	1	Fam135a	family with sequence similarity 135, member A [Source:MGI Symbol;Acc:MGI:1915437]
ENSMUSG00000102398	ENSMUST00000192408	1	Gm37580	predicted gene, 37580 [Source:MGI Symbol;Acc:MGI:5610808]
ENSMUSG00000026147	ENSMUST00000054588	1	Col9a1	collagen, type IX, alpha 1 [Source:MGI Symbol;Acc:MGI:88465]
ENSMUSG00000026141	ENSMUST00000144297	1	Col19a1	collagen, type XIX, alpha 1 [Source:MGI Symbol;Acc:MGI:1095415]
ENSMUSG00000099997	ENSMUST00000187481	1	Tubb4b-ps2	tubulin, beta 4B class IVB, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3723458]
ENSMUSG00000100131	ENSMUST00000187714	1	Gm28439	predicted gene 28439 [Source:MGI Symbol;Acc:MGI:5579145]
ENSMUSG00000067736	ENSMUST00000088336	1	Gm10222	predicted gene 10222 [Source:MGI Symbol;Acc:MGI:3642643]
ENSMUSG00000101939	ENSMUST00000188299	1	Gm28438	predicted gene 28438 [Source:MGI Symbol;Acc:MGI:5579144]
ENSMUSG00000101111	ENSMUST00000190277	1	Gm28437	predicted gene 28437 [Source:MGI Symbol;Acc:MGI:5579143]
ENSMUSG00000100862	ENSMUST00000189941	1	Gm10925	predicted gene 10925 [Source:MGI Symbol;Acc:MGI:3809095]
ENSMUSG00000102070	ENSMUST00000188231	1	Gm28661	predicted gene 28661 [Source:MGI Symbol;Acc:MGI:5579367]
ENSMUSG00000101249	ENSMUST00000187117	1	Gm29216	predicted gene 29216 [Source:MGI Symbol;Acc:MGI:5579922]
ENSMUSG00000073725	ENSMUST00000191471	1	Lmbrd1	LMBR1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1915671]
ENSMUSG00000033569	ENSMUST00000126626	1	Adgrb3	adhesion G protein-coupled receptor B3 [Source:MGI Symbol;Acc:MGI:2441837]
ENSMUSG00000073722	ENSMUST00000097801	1	4931408C20Rik	RIKEN cDNA 4931408C20 gene [Source:MGI Symbol;Acc:MGI:3588222]
ENSMUSG00000101372	ENSMUST00000189614	1	Gm19028	predicted gene, 19028 [Source:MGI Symbol;Acc:MGI:5011213]
ENSMUSG00000086240	ENSMUST00000145844	1	Gm7846	predicted gene 7846 [Source:MGI Symbol;Acc:MGI:3645212]
ENSMUSG00000081557	ENSMUST00000122295	1	Gm5697	predicted gene 5697 [Source:MGI Symbol;Acc:MGI:3649021]
ENSMUSG00000099492	ENSMUST00000190438	1	Gm5525	predicted gene 5525 [Source:MGI Symbol;Acc:MGI:3646042]
ENSMUSG00000101726	ENSMUST00000190177	1	Gm7858	predicted gene 7858 [Source:MGI Symbol;Acc:MGI:3644844]
ENSMUSG00000100261	ENSMUST00000188572	1	Gm6473	predicted gene 6473 [Source:MGI Symbol;Acc:MGI:3645176]
ENSMUSG00000048874	ENSMUST00000186733	1	Phf3	PHD finger protein 3 [Source:MGI Symbol;Acc:MGI:2446126]
ENSMUSG00000026064	ENSMUST00000027232	1	Ptp4a1	protein tyrosine phosphatase 4a1 [Source:MGI Symbol;Acc:MGI:1277096]
ENSMUSG00000100371	ENSMUST00000188605	1	Gm29669	predicted gene 29669 [Source:MGI Symbol;Acc:MGI:5580375]
ENSMUSG00000086727	ENSMUST00000187892	1	4931428L18Rik	RIKEN cDNA 4931428L18 gene [Source:MGI Symbol;Acc:MGI:1918238]
ENSMUSG00000099796	ENSMUST00000189666	1	Gm7893	predicted gene 7893 [Source:MGI Symbol;Acc:MGI:3648015]
ENSMUSG00000050217	ENSMUST00000062560	1	Lgsn	lengsin, lens protein with glutamine synthetase domain [Source:MGI Symbol;Acc:MGI:2672844]
ENSMUSG00000070960	ENSMUST00000095050	1	Gm19680	predicted gene, 19680 [Source:MGI Symbol;Acc:MGI:5011865]
ENSMUSG00000026058	ENSMUST00000027226	1	Khdrbs2	KH domain containing, RNA binding, signal transduction associated 2 [Source:MGI Symbol;Acc:MGI:2159649]
ENSMUSG00000100481	ENSMUST00000190159	1	Gm7114	predicted gene 7114 [Source:MGI Symbol;Acc:MGI:3643085]
ENSMUSG00000026134	ENSMUST00000027312	1	Prim2	DNA primase, p58 subunit [Source:MGI Symbol;Acc:MGI:97758]
ENSMUSG00000101682	ENSMUST00000185489	1	Gm29228	predicted gene 29228 [Source:MGI Symbol;Acc:MGI:5579934]
ENSMUSG00000103746	ENSMUST00000191779	1	1700001G17Rik	RIKEN cDNA 1700001G17 gene [Source:MGI Symbol;Acc:MGI:1914753]
ENSMUSG00000004768	ENSMUST00000195006	1	Rab23	RAB23, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:99833]
ENSMUSG00000042215	ENSMUST00000044691	1	Bag2	BCL2-associated athanogene 2 [Source:MGI Symbol;Acc:MGI:1891254]
ENSMUSG00000042197	ENSMUST00000139143	1	Zfp451	zinc finger protein 451 [Source:MGI Symbol;Acc:MGI:2137896]
ENSMUSG00000081402	ENSMUST00000117459	1	Gm15455	predicted gene 15455 [Source:MGI Symbol;Acc:MGI:3705563]
ENSMUSG00000042182	ENSMUST00000115161	1	Bend6	BEN domain containing 6 [Source:MGI Symbol;Acc:MGI:2444572]
ENSMUSG00000026131	ENSMUST00000194011	1	Dst	dystonin [Source:MGI Symbol;Acc:MGI:104627]
ENSMUSG00000096992	ENSMUST00000181692	1	Gm26788	predicted gene, 26788 [Source:MGI Symbol;Acc:MGI:5477282]
ENSMUSG00000101462	ENSMUST00000186409	1	Gm3052	predicted gene 3052 [Source:MGI Symbol;Acc:MGI:3781230]
ENSMUSG00000102336	ENSMUST00000192173	1	Gm37233	predicted gene, 37233 [Source:MGI Symbol;Acc:MGI:5610461]
ENSMUSG00000042111	ENSMUST00000042493	1	Ccdc115	coiled-coil domain containing 115 [Source:MGI Symbol;Acc:MGI:1916918]
ENSMUSG00000101711	ENSMUST00000191315	1	Gm28306	predicted gene 28306 [Source:MGI Symbol;Acc:MGI:5579012]
ENSMUSG00000026127	ENSMUST00000027303	1	Imp4	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast) [Source:MGI Symbol;Acc:MGI:106572]
ENSMUSG00000026126	ENSMUST00000185610	1	Ptpn18	protein tyrosine phosphatase, non-receptor type 18 [Source:MGI Symbol;Acc:MGI:108410]
ENSMUSG00000100280	ENSMUST00000191357	1	Gm28417	predicted gene 28417 [Source:MGI Symbol;Acc:MGI:5579123]
ENSMUSG00000101223	ENSMUST00000188292	1	4930568A12Rik	RIKEN cDNA 4930568A12 gene [Source:MGI Symbol;Acc:MGI:1923133]
ENSMUSG00000037509	ENSMUST00000159747	1	Arhgef4	Rho guanine nucleotide exchange factor (GEF) 4 [Source:MGI Symbol;Acc:MGI:2442507]
ENSMUSG00000104002	ENSMUST00000193040	1	Gm38336	predicted gene, 38336 [Source:MGI Symbol;Acc:MGI:5611564]
ENSMUSG00000037503	ENSMUST00000047534	1	Fam168b	family with sequence similarity 168, member B [Source:MGI Symbol;Acc:MGI:2448487]
ENSMUSG00000026123	ENSMUST00000156687	1	Plekhb2	pleckstrin homology domain containing, family B (evectins) member 2 [Source:MGI Symbol;Acc:MGI:2385825]
ENSMUSG00000103548	ENSMUST00000193622	1	Gm37670	predicted gene, 37670 [Source:MGI Symbol;Acc:MGI:5610898]
ENSMUSG00000104417	ENSMUST00000195168	1	Gm37068	predicted gene, 37068 [Source:MGI Symbol;Acc:MGI:5610296]
ENSMUSG00000102531	ENSMUST00000194261	1	1110002O04Rik	RIKEN cDNA 1110002O04 gene [Source:MGI Symbol;Acc:MGI:1915733]
ENSMUSG00000102279	ENSMUST00000192572	1	Gm37146	predicted gene, 37146 [Source:MGI Symbol;Acc:MGI:5610374]
ENSMUSG00000045216	ENSMUST00000088174	1	Hs6st1	heparan sulfate 6-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1354958]
ENSMUSG00000102202	ENSMUST00000193983	1	Gm33280	predicted gene, 33280 [Source:MGI Symbol;Acc:MGI:5592439]
ENSMUSG00000037470	ENSMUST00000046875	1	Uggt1	UDP-glucose glycoprotein glucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2443162]
ENSMUSG00000047180	ENSMUST00000056946	1	Neurl3	neuralized homolog 3 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:2429944]
ENSMUSG00000037447	ENSMUST00000126413	1	Arid5a	AT rich interactive domain 5A (MRF1-like) [Source:MGI Symbol;Acc:MGI:2443039]
ENSMUSG00000010453	ENSMUST00000185912	1	Kansl3	KAT8 regulatory NSL complex subunit 3 [Source:MGI Symbol;Acc:MGI:1918055]
ENSMUSG00000037432	ENSMUST00000179162	1	Fer1l5	fer-1-like 5 (C. elegans) [Source:MGI Symbol;Acc:MGI:3616091]
ENSMUSG00000001143	ENSMUST00000192969	1	Lman2l	lectin, mannose-binding 2-like [Source:MGI Symbol;Acc:MGI:2443010]
ENSMUSG00000037408	ENSMUST00000153128	1	Cnnm4	cyclin M4 [Source:MGI Symbol;Acc:MGI:2151060]
ENSMUSG00000001138	ENSMUST00000001166	1	Cnnm3	cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]
ENSMUSG00000103661	ENSMUST00000191849	1	Ankrd23	ankyrin repeat domain 23 [Source:MGI Symbol;Acc:MGI:1925571]
ENSMUSG00000079610	ENSMUST00000191706	1	Ankrd39	ankyrin repeat domain 39 [Source:MGI Symbol;Acc:MGI:1914816]
ENSMUSG00000026121	ENSMUST00000191677	1	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C [Source:MGI Symbol;Acc:MGI:109252]
ENSMUSG00000087589	ENSMUST00000194426	1	D430040D24Rik	RIKEN cDNA D430040D24 gene [Source:MGI Symbol;Acc:MGI:2442526]
ENSMUSG00000046337	ENSMUST00000170295	1	Fam178b	family with sequence similarity 178, member B [Source:MGI Symbol;Acc:MGI:3026913]
ENSMUSG00000061518	ENSMUST00000193210	1	Cox5b	cytochrome c oxidase subunit Vb [Source:MGI Symbol;Acc:MGI:88475]
ENSMUSG00000037351	ENSMUST00000043951	1	Actr1b	ARP1 actin-related protein 1B, centractin beta [Source:MGI Symbol;Acc:MGI:1917446]
